Original_GeneID,New_GeneID
gene_11214,gene_27070
gene_11876,gene_7561
gene_16877,gene_18315
gene_20599,gene_10257
gene_22413,gene_14172
gene_25665,gene_8471
gene_29781,gene_23767
gene_29998,gene_4918
gene_10571,gene_9687
gene_16750,gene_21583
gene_19130,gene_2918
gene_19297,gene_20876
gene_21812,gene_6571
gene_23224,gene_8163
gene_24110,gene_25668
gene_24813,gene_7682
gene_26068,gene_25677
gene_27381,gene_28528
gene_28938,gene_5641
gene_28952,gene_5649
gene_3425,gene_21630
gene_6227,gene_6414
gene_7267,gene_9040
gene_7290,gene_9626
gene_7796,gene_8104
gene_9405,gene_12102
